bill_id,bill_type,subjects_top_term,enacted_as
hconres138-115,hconres,International affairs,0
hconres107-115,hconres,Congress,0
hconres5-115,hconres,Government operations and politics,0
hconres43-115,hconres,Armed forces and national security,0
hconres88-115,hconres,International affairs,0
hconres131-115,hconres,"Civil rights and liberties, minority issues",0
hconres109-115,hconres,"Science, technology, communications",0
hconres44-115,hconres,"Civil rights and liberties, minority issues",0
hconres136-115,hconres,Health,0
hconres18-115,hconres,Congress,0
hconres27-115,hconres,Public lands and natural resources,0
hconres20-115,hconres,International affairs,0
hconres29-115,hconres,Education,0
hconres16-115,hconres,Armed forces and national security,0
hconres11-115,hconres,International affairs,0
hconres45-115,hconres,Armed forces and national security,0
hconres108-115,hconres,"Civil rights and liberties, minority issues",0
hconres137-115,hconres,Environmental protection,0
hconres42-115,hconres,Government operations and politics,0
hconres89-115,hconres,International affairs,0
hconres130-115,hconres,Environmental protection,0
hconres80-115,hconres,Health,0
hconres139-115,hconres,International affairs,0
hconres74-115,hconres,Housing and community development,0
hconres106-115,hconres,Congress,0
hconres4-115,hconres,International affairs,0
hconres73-115,hconres,Economics and public finance,0
hconres87-115,hconres,International affairs,0
hconres101-115,hconres,Congress,0
hconres3-115,hconres,"Civil rights and liberties, minority issues",0
hconres123-115,hconres,Health,0
hconres51-115,hconres,International affairs,0
hconres124-115,hconres,International affairs,0
hconres69-115,hconres,Congress,0
hconres56-115,hconres,Emergency management,0
hconres112-115,hconres,Congress,0
hconres94-115,hconres,"Arts, culture, religion",0
hconres60-115,hconres,Public lands and natural resources,0
hconres58-115,hconres,Health,0
hconres115-115,hconres,Congress,0
hconres67-115,hconres,International affairs,0
hconres93-115,hconres,"Arts, culture, religion",0
hconres33-115,hconres,"Arts, culture, religion",0
hconres141-115,hconres,Health,0
hconres34-115,hconres,Taxation,0
hconres146-115,hconres,Health,0
hconres148-115,hconres,Finance and financial sector,0
hconres114-115,hconres,Education,0
hconres59-115,hconres,Armed forces and national security,0
hconres92-115,hconres,International affairs,0
hconres66-115,hconres,Health,0
hconres113-115,hconres,Congress,0
hconres61-115,hconres,Foreign trade and international finance,0
hconres95-115,hconres,Education,0
hconres68-115,hconres,Labor and employment,0
hconres125-115,hconres,Health,0
hconres57-115,hconres,International affairs,0
hconres122-115,hconres,Armed forces and national security,0
hconres50-115,hconres,"Science, technology, communications",0
hconres149-115,hconres,Government operations and politics,0
hconres35-115,hconres,Congress,0
hconres147-115,hconres,Labor and employment,0
hconres32-115,hconres,Government operations and politics,0
hconres140-115,hconres,Congress,0
hjres144-115,hjres,Environmental protection,0
hjres143-115,hjres,Economics and public finance,1
hjres126-115,hjres,Government operations and politics,0
hjres119-115,hjres,Economics and public finance,0
hjres121-115,hjres,Families,0
hjres117-115,hjres,"Civil rights and liberties, minority issues",0
hjres128-115,hjres,Armed forces and national security,0
hjres110-115,hjres,Economics and public finance,0
hjres142-115,hjres,International affairs,0
hjres145-115,hjres,Taxation,0
hjres111-115,hjres,Finance and financial sector,1
hjres116-115,hjres,Health,0
hjres129-115,hjres,"Science, technology, communications",0
hjres120-115,hjres,Crime and law enforcement,0
hjres127-115,hjres,Armed forces and national security,0
hjres118-115,hjres,International affairs,0
hjres58-115,hjres,Education,1
hjres93-115,hjres,Crime and law enforcement,0
hjres67-115,hjres,Labor and employment,1
hjres60-115,hjres,Environmental protection,0
hjres94-115,hjres,Taxation,0
hjres69-115,hjres,Public lands and natural resources,1
hjres56-115,hjres,Energy,0
hjres51-115,hjres,Health,0
hjres34-115,hjres,Energy,0
hjres33-115,hjres,"Civil rights and liberties, minority issues",0
hjres50-115,hjres,Congress,0
hjres68-115,hjres,Public lands and natural resources,0
hjres57-115,hjres,Education,1
hjres95-115,hjres,"Arts, culture, religion",0
hjres61-115,hjres,"Civil rights and liberties, minority issues",0
hjres59-115,hjres,Environmental protection,0
hjres66-115,hjres,Labor and employment,1
hjres92-115,hjres,Transportation and public works,0
hjres32-115,hjres,Government operations and politics,0
hjres35-115,hjres,Public lands and natural resources,0
hjres19-115,hjres,Government operations and politics,0
hjres26-115,hjres,Government operations and politics,0
hjres21-115,hjres,Taxation,0
hjres28-115,hjres,Government operations and politics,0
hjres17-115,hjres,Congress,0
hjres10-115,hjres,International affairs,0
hjres44-115,hjres,Public lands and natural resources,1
hjres43-115,hjres,Health,1
hjres88-115,hjres,"Civil rights and liberties, minority issues",0
hjres81-115,hjres,Health,0
hjres75-115,hjres,International affairs,0
hjres72-115,hjres,International affairs,0
hjres86-115,hjres,"Science, technology, communications",0
hjres11-115,hjres,Environmental protection,0
hjres29-115,hjres,Economics and public finance,0
hjres16-115,hjres,Environmental protection,0
hjres20-115,hjres,Congress,0
hjres18-115,hjres,Economics and public finance,0
hjres27-115,hjres,Government operations and politics,0
hjres87-115,hjres,Environmental protection,0
hjres73-115,hjres,Finance and financial sector,0
hjres74-115,hjres,"Civil rights and liberties, minority issues",0
hjres80-115,hjres,Government operations and politics,0
hjres42-115,hjres,Labor and employment,1
hjres89-115,hjres,International affairs,0
hjres45-115,hjres,Public lands and natural resources,0
hjres105-115,hjres,Crime and law enforcement,0
hjres102-115,hjres,International affairs,0
hjres134-115,hjres,Congress,0
hjres2-115,hjres,Economics and public finance,0
hjres5-115,hjres,Economics and public finance,0
hjres133-115,hjres,Government operations and politics,0
hjres132-115,hjres,Finance and financial sector,0
hjres4-115,hjres,Congress,0
hjres3-115,hjres,Armed forces and national security,0
hjres135-115,hjres,International affairs,0
hjres103-115,hjres,Labor and employment,0
hjres104-115,hjres,International affairs,0
hjres122-115,hjres,Finance and financial sector,0
hjres125-115,hjres,Economics and public finance,0
hjres113-115,hjres,Government operations and politics,0
hjres114-115,hjres,Economics and public finance,0
hjres140-115,hjres,Health,0
hjres115-115,hjres,Crime and law enforcement,0
hjres112-115,hjres,International affairs,0
hjres124-115,hjres,Economics and public finance,0
hjres123-115,hjres,Economics and public finance,1
hjres146-115,hjres,Congress,0
hjres141-115,hjres,Government operations and politics,0
hjres39-115,hjres,Health,0
hjres30-115,hjres,Congress,0
hjres37-115,hjres,Labor and employment,1
hjres63-115,hjres,International affairs,0
hjres97-115,hjres,Public lands and natural resources,0
hjres90-115,hjres,Government operations and politics,0
hjres64-115,hjres,Government operations and politics,0
hjres99-115,hjres,Economics and public finance,1
hjres52-115,hjres,Environmental protection,0
hjres55-115,hjres,Energy,0
hjres36-115,hjres,Energy,0
hjres31-115,hjres,Government operations and politics,0
hjres38-115,hjres,Environmental protection,1
hjres54-115,hjres,Taxation,0
hjres98-115,hjres,Economics and public finance,0
hjres53-115,hjres,"Civil rights and liberties, minority issues",0
hjres65-115,hjres,Government operations and politics,0
hjres91-115,hjres,"Civil rights and liberties, minority issues",0
hjres96-115,hjres,Public lands and natural resources,0
hjres62-115,hjres,Finance and financial sector,0
hjres40-115,hjres,Crime and law enforcement,1
hjres47-115,hjres,Energy,0
hjres78-115,hjres,Government operations and politics,0
hjres71-115,hjres,Public lands and natural resources,0
hjres85-115,hjres,Congress,0
hjres82-115,hjres,Public lands and natural resources,0
hjres76-115,hjres,Transportation and public works,1
hjres49-115,hjres,Public lands and natural resources,0
hjres22-115,hjres,Environmental protection,0
hjres25-115,hjres,Congress,0
hjres13-115,hjres,Congress,0
hjres14-115,hjres,Economics and public finance,0
hjres77-115,hjres,Water resources development,0
hjres83-115,hjres,Labor and employment,1
hjres48-115,hjres,"Civil rights and liberties, minority issues",0
hjres84-115,hjres,Transportation and public works,0
hjres70-115,hjres,Energy,0
hjres46-115,hjres,Public lands and natural resources,0
hjres79-115,hjres,Government operations and politics,0
hjres41-115,hjres,Finance and financial sector,1
hjres15-115,hjres,Economics and public finance,0
hjres12-115,hjres,Economics and public finance,0
hjres24-115,hjres,Congress,0
hjres23-115,hjres,Congress,0
hjres8-115,hjres,Economics and public finance,0
hjres101-115,hjres,Congress,0
hjres139-115,hjres,International affairs,0
hjres106-115,hjres,Congress,0
hjres6-115,hjres,Congress,0
hjres130-115,hjres,"Arts, culture, religion",0
hjres108-115,hjres,Economics and public finance,0
hjres137-115,hjres,Government operations and politics,0
hjres1-115,hjres,Economics and public finance,0
hjres109-115,hjres,Economics and public finance,0
hjres136-115,hjres,Government operations and politics,0
hjres131-115,hjres,"Science, technology, communications",0
hjres7-115,hjres,Congress,0
hjres138-115,hjres,Government operations and politics,0
hjres107-115,hjres,Economics and public finance,0
hjres9-115,hjres,Congress,0
hjres100-115,hjres,International affairs,0
hr1216-115,hr,Armed forces and national security,0
hr4764-115,hr,Finance and financial sector,0
hr337-115,hr,Public lands and natural resources,0
hr6033-115,hr,International affairs,0
hr2493-115,hr,Government operations and politics,0
hr3541-115,hr,Crime and law enforcement,0
hr6201-115,hr,Health,0
hr3773-115,hr,Education,0
hr939-115,hr,Environmental protection,0
hr1024-115,hr,Economics and public finance,0
hr105-115,hr,Armed forces and national security,0
hr4556-115,hr,Armed forces and national security,0
hr5484-115,hr,Law,0
hr1818-115,hr,Animals,0
hr6665-115,hr,Energy,0
hr3317-115,hr,Crime and law enforcement,0
hr1440-115,hr,"Science, technology, communications",0
hr561-115,hr,Health,0
hr4132-115,hr,Armed forces and national security,0
hr1672-115,hr,Commerce,0
hr4300-115,hr,Armed forces and national security,1
hr753-115,hr,Armed forces and national security,0
hr3919-115,hr,Health,0
hr6457-115,hr,Agriculture and food,0
hr3125-115,hr,Government operations and politics,0
hr6691-115,hr,Crime and law enforcement,0
hr2231-115,hr,International affairs,0
hr5828-115,hr,Social welfare,0
hr5014-115,hr,Energy,0
hr595-115,hr,Finance and financial sector,0
hr1686-115,hr,Taxation,0
hr5226-115,hr,Energy,0
hr2003-115,hr,Education,0
hr4790-115,hr,Finance and financial sector,0
hr5642-115,hr,Commerce,0
hr7115-115,hr,Crime and law enforcement,0
hr2467-115,hr,Government operations and politics,0
hr7327-115,hr,Emergency management,0
hr2655-115,hr,Commerce,0
hr3787-115,hr,"Science, technology, communications",0
hr5470-115,hr,Finance and financial sector,0
hr3926-115,hr,Health,0
hr6468-115,hr,Environmental protection,0
hr4931-115,hr,Health,0
hr3328-115,hr,Transportation and public works,0
hr906-115,hr,Finance and financial sector,0
hr4569-115,hr,Crime and law enforcement,0
hr1827-115,hr,Labor and employment,0
hr6830-115,hr,Education,0
hr1229-115,hr,International affairs,0
hr308-115,hr,Taxation,0
hr5689-115,hr,Armed forces and national security,0
hr7318-115,hr,Government operations and politics,0
hr2458-115,hr,Crime and law enforcement,0
hr2800-115,hr,Transportation and public works,0
hr5219-115,hr,Health,0
hr798-115,hr,Taxation,0
hr5817-115,hr,Energy,0
hr7320-115,hr,Education,0
hr2652-115,hr,Armed forces and national security,0
hr3780-115,hr,Health,0
hr5477-115,hr,Health,0
hr4797-115,hr,Public lands and natural resources,0
hr5645-115,hr,Commerce,0
hr7112-115,hr,Education,0
hr2460-115,hr,Transportation and public works,0
hr1681-115,hr,Armed forces and national security,0
hr5221-115,hr,Social welfare,0
hr2838-115,hr,Armed forces and national security,0
hr2004-115,hr,Immigration,0
hr6696-115,hr,Immigration,0
hr2236-115,hr,Agriculture and food,0
hr5013-115,hr,Health,0
hr592-115,hr,Health,0
hr1675-115,hr,Emergency management,0
hr754-115,hr,International affairs,1
hr4307-115,hr,Education,0
hr6450-115,hr,International affairs,0
hr3122-115,hr,Armed forces and national security,1
hr6662-115,hr,Health,0
hr3310-115,hr,Social welfare,0
hr1447-115,hr,"Civil rights and liberties, minority issues",0
hr4909-115,hr,Crime and law enforcement,0
hr4135-115,hr,Taxation,0
hr566-115,hr,International affairs,0
hr6206-115,hr,Transportation and public works,0
hr3774-115,hr,Education,0
hr1023-115,hr,Crime and law enforcement,0
hr4551-115,hr,Government operations and politics,0
hr102-115,hr,Armed forces and national security,0
hr5483-115,hr,Crime and law enforcement,0
hr1211-115,hr,Government operations and politics,0
hr330-115,hr,Government operations and politics,0
hr4763-115,hr,"Science, technology, communications",0
hr6034-115,hr,International affairs,0
hr2494-115,hr,Government operations and politics,0
hr6808-115,hr,Health,0
hr3546-115,hr,"Science, technology, communications",0
hr5810-115,hr,Health,0
hr2209-115,hr,Taxation,0
hr2807-115,hr,Armed forces and national security,0
hr5448-115,hr,Agriculture and food,0
hr6837-115,hr,Health,0
hr3579-115,hr,Health,0
hr901-115,hr,Crime and law enforcement,0
hr1820-115,hr,Armed forces and national security,0
hr6239-115,hr,Government operations and politics,0
hr2699-115,hr,Armed forces and national security,0
hr1478-115,hr,Health,0
hr4936-115,hr,,0
hr559-115,hr,Government operations and politics,0
hr3921-115,hr,Health,0
hr4338-115,hr,Armed forces and national security,0
hr6492-115,hr,Public lands and natural resources,0
hr2032-115,hr,Public lands and natural resources,0
hr796-115,hr,Government operations and politics,0
hr5217-115,hr,Agriculture and food,0
hr1485-115,hr,Education,0
hr5819-115,hr,International affairs,0
hr5025-115,hr,Public lands and natural resources,0
hr2200-115,hr,International affairs,0
hr5441-115,hr,Taxation,0
hr4593-115,hr,Social welfare,0
hr7316-115,hr,Transportation and public works,0
hr2664-115,hr,Crime and law enforcement,0
hr7124-115,hr,Education,0
hr3584-115,hr,Taxation,0
hr2456-115,hr,Crime and law enforcement,0
hr5673-115,hr,Housing and community development,0
hr1015-115,hr,Taxation,0
hr908-115,hr,Health,0
hr1829-115,hr,Armed forces and national security,0
hr4567-115,hr,Emergency management,0
hr134-115,hr,Housing and community development,0
hr6230-115,hr,Labor and employment,0
hr3742-115,hr,Education,0
hr2690-115,hr,Immigration,0
hr6002-115,hr,Education,0
hr3570-115,hr,Environmental protection,0
hr1227-115,hr,Crime and law enforcement,0
hr5687-115,hr,Health,0
hr306-115,hr,Energy,0
hr4755-115,hr,Finance and financial sector,0
hr6466-115,hr,Crime and law enforcement,0
hr3928-115,hr,Health,0
hr3114-115,hr,Foreign trade and international finance,0
hr1643-115,hr,Government operations and politics,0
hr762-115,hr,International affairs,0
hr4331-115,hr,Crime and law enforcement,0
hr1471-115,hr,International affairs,0
hr4103-115,hr,Energy,0
hr550-115,hr,Transportation and public works,0
hr6654-115,hr,Crime and law enforcement,0
hr3326-115,hr,International affairs,0
hr2469-115,hr,Energy,0
hr7329-115,hr,,0
hr3789-115,hr,Health,0
hr5826-115,hr,Armed forces and national security,0
hr1688-115,hr,Taxation,0
hr5228-115,hr,Health,0
hr2831-115,hr,Transportation and public works,0
hr3319-115,hr,Armed forces and national security,0
hr4900-115,hr,Transportation and public works,0
hr6459-115,hr,Transportation and public works,0
hr3917-115,hr,Health,0
hr1218-115,hr,Social welfare,0
hr339-115,hr,Immigration,1
hr6801-115,hr,Health,0
hr937-115,hr,Taxation,0
hr1816-115,hr,Armed forces and national security,0
hr4558-115,hr,Public lands and natural resources,0
hr4938-115,hr,Health,0
hr1476-115,hr,Taxation,0
hr557-115,hr,"Science, technology, communications",0
hr4104-115,hr,Health,0
hr6653-115,hr,Transportation and public works,0
hr3321-115,hr,Finance and financial sector,0
hr6461-115,hr,Transportation and public works,0
hr3113-115,hr,Government operations and politics,0
hr1644-115,hr,International affairs,0
hr4336-115,hr,Education,0
hr765-115,hr,Transportation and public works,0
hr6005-115,hr,Transportation and public works,0
hr3577-115,hr,Agriculture and food,0
hr6839-115,hr,Armed forces and national security,0
hr1220-115,hr,Government operations and politics,0
hr5680-115,hr,International affairs,0
hr4752-115,hr,Finance and financial sector,0
hr301-115,hr,"Science, technology, communications",0
hr1012-115,hr,Taxation,0
hr133-115,hr,Taxation,0
hr4560-115,hr,Finance and financial sector,0
hr6237-115,hr,Armed forces and national security,0
hr3745-115,hr,Housing and community development,0
hr2697-115,hr,Armed forces and national security,0
hr7123-115,hr,International affairs,0
hr3583-115,hr,Taxation,0
hr2451-115,hr,Education,0
hr5674-115,hr,Armed forces and national security,0
hr5446-115,hr,Taxation,0
hr4594-115,hr,Social welfare,0
hr7311-115,hr,Energy,0
hr2663-115,hr,Health,0
hr1482-115,hr,Public lands and natural resources,0
hr5022-115,hr,Agriculture and food,0
hr2207-115,hr,Labor and employment,0
hr6495-115,hr,Health,0
hr2809-115,hr,"Science, technology, communications",0
hr2035-115,hr,Taxation,0
hr791-115,hr,Sports and recreation,0
hr5210-115,hr,Public lands and natural resources,0
hr6208-115,hr,Agriculture and food,0
hr930-115,hr,Health,0
hr1811-115,hr,Government operations and politics,0
hr3548-115,hr,Immigration,0
hr6806-115,hr,Crime and law enforcement,0
hr4309-115,hr,Government operations and politics,0
hr3910-115,hr,Taxation,0
hr4907-115,hr,Environmental protection,0
hr1449-115,hr,International affairs,0
hr568-115,hr,Government operations and politics,0
hr2836-115,hr,Taxation,0
hr6698-115,hr,Health,0
hr2238-115,hr,Taxation,0
hr5821-115,hr,Armed forces and national security,0
hr5479-115,hr,Taxation,0
hr4799-115,hr,Taxation,0
hr6852-115,hr,Transportation and public works,0
hr4739-115,hr,Transportation and public works,0
hr1845-115,hr,Health,0
hr158-115,hr,Crime and law enforcement,0
hr1079-115,hr,Education,0
hr964-115,hr,Government operations and politics,0
hr4953-115,hr,"Science, technology, communications",0
hr5881-115,hr,Health,0
hr2298-115,hr,Government operations and politics,0
hr6638-115,hr,Finance and financial sector,0
hr3178-115,hr,Health,0
hr2896-115,hr,Social welfare,0
hr3944-115,hr,Crime and law enforcement,0
hr5049-115,hr,Armed forces and national security,0
hr5875-115,hr,Public lands and natural resources,0
hr2862-115,hr,Emergency management,0
hr7148-115,hr,Labor and employment,0
hr990-115,hr,Government operations and politics,0
hr2608-115,hr,Transportation and public works,0
hr731-115,hr,Energy,0
hr4362-115,hr,Armed forces and national security,0
hr1610-115,hr,Health,0
hr2095-115,hr,Labor and employment,0
hr3147-115,hr,Crime and law enforcement,0
hr6435-115,hr,Government operations and politics,0
hr3375-115,hr,Immigration,0
hr6607-115,hr,Government operations and politics,0
hr4150-115,hr,Education,0
hr503-115,hr,Law,0
hr5082-115,hr,Finance and financial sector,0
hr1422-115,hr,Finance and financial sector,0
hr3711-115,hr,Immigration,0
hr6263-115,hr,Armed forces and national security,0
hr4534-115,hr,Transportation and public works,0
hr167-115,hr,Education,0
hr1046-115,hr,Commerce,0
hr355-115,hr,Labor and employment,0
hr4706-115,hr,Commerce,0
hr1274-115,hr,Environmental protection,0
hr3523-115,hr,"Science, technology, communications",0
hr7183-115,hr,Emergency management,0
hr6051-115,hr,Government operations and politics,0
hr2637-115,hr,Transportation and public works,0
hr7345-115,hr,Labor and employment,0
hr6297-115,hr,Crime and law enforcement,0
hr5412-115,hr,Government operations and politics,0
hr193-115,hr,International affairs,0
hr5620-115,hr,Crime and law enforcement,0
hr1280-115,hr,Taxation,0
hr2405-115,hr,Emergency management,0
hr6899-115,hr,Taxation,0
hr7177-115,hr,Health,0
hr4396-115,hr,Congress,0
hr5244-115,hr,Native Americans,0
hr2061-115,hr,International affairs,1
hr2253-115,hr,Taxation,0
hr3381-115,hr,Social welfare,0
hr5076-115,hr,Finance and financial sector,0
hr4998-115,hr,Health,0
hr997-115,hr,Government operations and politics,0
hr5618-115,hr,Finance and financial sector,0
hr399-115,hr,Taxation,0
hr2059-115,hr,Environmental protection,0
hr2865-115,hr,Taxation,0
hr5872-115,hr,Taxation,0
hr2891-115,hr,Armed forces and national security,0
hr3943-115,hr,Immigration,0
hr709-115,hr,Commerce,0
hr5288-115,hr,Finance and financial sector,0
hr1628-115,hr,Health,0
hr4168-115,hr,Taxation,0
hr4954-115,hr,Armed forces and national security,0
hr5886-115,hr,Finance and financial sector,0
hr1842-115,hr,Crime and law enforcement,0
hr963-115,hr,Armed forces and national security,0
hr3729-115,hr,Health,0
hr7389-115,hr,Environmental protection,0
hr6855-115,hr,Health,0
hr6069-115,hr,Finance and financial sector,0
hr2254-115,hr,Government operations and politics,1
hr3386-115,hr,Social welfare,0
hr5071-115,hr,Agriculture and food,0
hr4391-115,hr,International affairs,0
hr5243-115,hr,Education,0
hr2066-115,hr,Health,0
hr3988-115,hr,Taxation,0
hr5627-115,hr,Agriculture and food,0
hr1287-115,hr,Government operations and politics,0
hr2402-115,hr,Public lands and natural resources,0
hr8-115,hr,Water resources development,0
hr7170-115,hr,Public lands and natural resources,0
hr2630-115,hr,Public lands and natural resources,0
hr7342-115,hr,,0
hr6290-115,hr,Taxation,0
hr5415-115,hr,Government operations and politics,0
hr1889-115,hr,Public lands and natural resources,0
hr194-115,hr,Government operations and politics,1
hr4701-115,hr,Health,0
hr352-115,hr,Health,0
hr1273-115,hr,Environmental protection,0
hr3524-115,hr,Taxation,0
hr7184-115,hr,Taxation,0
hr6056-115,hr,Health,0
hr3716-115,hr,Education,0
hr6264-115,hr,Commerce,0
hr160-115,hr,Education,0
hr4533-115,hr,Armed forces and national security,1
hr1041-115,hr,Taxation,0
hr3372-115,hr,Armed forces and national security,0
hr6600-115,hr,Crime and law enforcement,0
hr504-115,hr,Government operations and politics,0
hr4157-115,hr,Crime and law enforcement,0
hr5085-115,hr,"Science, technology, communications",0
hr1425-115,hr,Taxation,0
hr4365-115,hr,Armed forces and national security,0
hr736-115,hr,Commerce,0
hr1617-115,hr,Health,0
hr2092-115,hr,Taxation,0
hr3140-115,hr,Social welfare,0
hr6432-115,hr,Taxation,0
hr4398-115,hr,Immigration,0
hr3981-115,hr,Environmental protection,0
hr2853-115,hr,Taxation,0
hr5078-115,hr,Finance and financial sector,0
hr5844-115,hr,Public lands and natural resources,0
hr4996-115,hr,Immigration,0
hr2639-115,hr,Social welfare,0
hr6299-115,hr,Public lands and natural resources,0
hr1880-115,hr,Education,0
hr6897-115,hr,Transportation and public works,1
hr7179-115,hr,Environmental protection,0
hr1-115,hr,Taxation,1
hr169-115,hr,Energy,0
hr1874-115,hr,Taxation,0
hr955-115,hr,Armed forces and national security,0
hr1048-115,hr,Foreign trade and international finance,0
hr4708-115,hr,Crime and law enforcement,1
hr6863-115,hr,Armed forces and national security,0
hr3149-115,hr,Taxation,0
hr3975-115,hr,Commerce,0
hr6609-115,hr,Transportation and public works,0
hr4962-115,hr,Taxation,0
hr2434-115,hr,Education,0
hr6094-115,hr,International affairs,0
hr7146-115,hr,,0
hr390-115,hr,International affairs,1
hr5611-115,hr,Environmental protection,0
hr5423-115,hr,Health,0
hr1083-115,hr,Labor and employment,0
hr2606-115,hr,Native Americans,0
hr7374-115,hr,,0
hr5047-115,hr,Armed forces and national security,0
hr4195-115,hr,Congress,0
hr2262-115,hr,Finance and financial sector,0
hr3182-115,hr,Health,0
hr2050-115,hr,Health,0
hr5275-115,hr,Environmental protection,0
hr532-115,hr,Immigration,0
hr4161-115,hr,Taxation,0
hr1413-115,hr,Health,0
hr3344-115,hr,"Science, technology, communications",0
hr2296-115,hr,Energy,0
hr6636-115,hr,Foreign trade and international finance,0
hr3176-115,hr,Emergency management,0
hr6404-115,hr,Agriculture and food,0
hr2898-115,hr,Public lands and natural resources,0
hr5281-115,hr,Foreign trade and international finance,0
hr4353-115,hr,Health,0
hr700-115,hr,Government operations and politics,0
hr1621-115,hr,Health,0
hr3512-115,hr,Foreign trade and international finance,0
hr6060-115,hr,Animals,0
hr4737-115,hr,Transportation and public works,0
hr364-115,hr,Transportation and public works,0
hr1245-115,hr,Health,0
hr156-115,hr,Labor and employment,0
hr4505-115,hr,Labor and employment,0
hr1077-115,hr,Taxation,0
hr3720-115,hr,Armed forces and national security,0
hr6252-115,hr,Housing and community development,0
hr7380-115,hr,,0
hr4159-115,hr,Housing and community development,0
hr4965-115,hr,Emergency management,0
hr738-115,hr,Transportation and public works,0
hr1619-115,hr,International affairs,0
hr3972-115,hr,Finance and financial sector,0
hr6864-115,hr,Commerce,0
hr6058-115,hr,Transportation and public works,0
hr3718-115,hr,Crime and law enforcement,0
hr1873-115,hr,Public lands and natural resources,0
hr952-115,hr,Agriculture and food,0
hr5629-115,hr,Agriculture and food,0
hr1289-115,hr,Social welfare,0
hr6890-115,hr,Taxation,0
hr6-115,hr,Health,1
hr1887-115,hr,Public lands and natural resources,0
hr3388-115,hr,Transportation and public works,0
hr5843-115,hr,Social welfare,0
hr4991-115,hr,Emergency management,0
hr2068-115,hr,Armed forces and national security,0
hr3986-115,hr,Crime and law enforcement,0
hr2854-115,hr,Government operations and politics,0
hr4502-115,hr,International affairs,0
hr151-115,hr,"Civil rights and liberties, minority issues",0
hr1070-115,hr,Labor and employment,0
hr3727-115,hr,Health,0
hr6255-115,hr,,0
hr7387-115,hr,,0
