bill_id,titles_text,enacted_as
hjres29-115,Proposing an amendment to the Constitution of the United States requiring that the Federal budget be balanced.,0
hjres16-115,"Disapproving a rule submitted by the Department of the Interior known as the ""Stream Protection Rule"".",0
hjres20-115,Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,0
hjres18-115,Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.,0
hjres27-115,Disapproving the action of the District of Columbia Council in approving the Death with Dignity Act of 2016.,0
hjres87-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Approval, Disapproval and Promulgation of Air Quality Implementation Plans; Partial Approval and Partial Disapproval of Air Quality Implementation Plans and Federal Implementation Plan; Utah; Revisions to Regional Haze State Implementation Plan; Federal Implementation Plan for Regional Haze"".",0
hjres73-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to prepaid accounts under the Electronic Fund Transfer Act and the Truth in Lending Act.",0
hjres74-115,Proposing an amendment to the Constitution of the United States regarding the right to vote.,0
hjres80-115,Providing for the appointment of Roger W. Ferguson as a citizen regent of the Board of Regents of the Smithsonian Institution.,0
hjres42-115,Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.,1
hjres89-115,"To authorize the use of United States Armed Forces against al-Qaeda, the Taliban, the Islamic State of Iraq and Syria, successor organizations, and associated forces.Authorization for Use of Military Force Against al-Qaeda, the Taliban, and the Islamic State of Iraq and Syria",0
hjres45-115,Disapproving the rule submitted by the United States Fish and Wildlife Service of the Department of the Interior relating to management of non-Federal oil and gas rights.,0
hjres105-115,"Condemning the deadly attack on May 26, 2017, in Portland, Oregon, expressing deepest condolences to the families and friends of the victims, and supporting community efforts to overcome hatred, bigotry, and violence.",0
hjres102-115,Relating to the disapproval of the proposed export to the Government of the Kingdom of Saudi Arabia of certain defense articles.,0
hjres134-115,Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.,0
hjres2-115,Proposing a balanced budget amendment to the Constitution of the United States.,0
hjres5-115,Proposing an amendment to the Constitution of the United States relative to balancing the budget.,0
hjres133-115,Providing for the reappointment of Barbara M. Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution.,0
hjres132-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Indirect Auto Lending and Compliance with the Equal Credit Opportunity Act"".",0
hjres4-115,Proposing an amendment to the Constitution of the United States granting Congress the authority to enact laws limiting the number of terms that Representatives and Senators may serve.,0
hjres3-115,Approving the location of a memorial to commemorate and honor the members of the Armed Forces who served on active duty in support of Operation Desert Storm or Operation Desert Shield.,0
hjres135-115,"Supporting Israel's right to defend its borders, and for other purposes.",0
hjres103-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Improve Tracking of Workplace Injuries and Illnesses"".",0
hjres104-115,To provide limitations on the transfer of air-to-ground munitions from the United States to Saudi Arabia.,0
hjres122-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Payday, Vehicle Title, and Certain High-Cost Installment Loans"".",0
hjres125-115,"Making an extension of continuing appropriations for fiscal year 2018, and for other purposes.",0
hjres113-115,Proposing an amendment to the Constitution of the United States relating to the authority of Congress and the States to regulate contributions and expenditures in political campaigns and to enact public financing systems for such campaigns.,0
hjres114-115,Proposing an amendment to the Constitution of the United States which requires (except during time of war and subject to suspension by Congress) that the total amount of money expended by the United States during any fiscal year not exceed the amount of certain revenue received by the United States during such fiscal year and not exceed 20 percent of the gross domestic product of the United States during the previous calendar year.,0
hjres140-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Treasury, the Department of Labor, and the Department of Health and Human Services relating to ""Short-Term, Limited-Duration Insurance"".",0
hjres115-115,Proposing an amendment to the Constitution of the United States to clarify the presidential pardoning power.,0
hjres112-115,"To authorize the use of United States Armed Forces against organizations that support Islamist extremism, and for other purposes.Authorization for Use of Military Force Against Islamist Extremism",0
hjres124-115,"Making further additional continuing appropriations for fiscal year 2018, and for other purposes.",0
hjres123-115,"Making further continuing appropriations for fiscal year 2018, and for other purposes.",1
hjres146-115,Proposing an amendment to the Constitution of the United States to prohibit Members of Congress from receiving compensation for any period during which a Government shutdown is in effect.,0
hjres141-115,Proposing an amendment to the Constitution of the United States regarding the permissible sources of funding for elections for public office and State ballot measures.,0
hjres39-115,"Disapproving a rule submitted by the Department of Health and Human Services relating to ""Compliance with Title X Requirements by Project Recipients in Selecting Subrecipients"".",0
hjres30-115,"Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States.",0
hjres37-115,"Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.",1
hjres63-115,To authorize the use of the United States Armed Forces against the Islamic State of Iraq and the Levant.Authorization for Use of Military Force against the Islamic State of Iraq and the Levant,0
hjres97-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Agriculture relating to ""Tongass National Forest Land and Resource Management Plan Amendment"".",0
hjres90-115,Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate the expenditure of funds for political activity by corporations.,0
hjres64-115,Proposing an amendment to the Constitution of the United States giving Congress power to regulate campaign contributions for Federal elections.,0
hjres99-115,"Making further continuing appropriations for fiscal year 2017, and for other purposes.",1
hjres52-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the United States Fish and Wildlife Service relating to ""Mitigation Policy"".",0
hjres55-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Office of Natural Resources Revenue relating to ""Amendments to Civil Penalty Regulations"".",0
hjres36-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Waste Prevention, Production Subject to Royalties, and Resource Conservation"".",0
hjres31-115,Proposing an amendment to the Constitution of the United States relating to contributions and expenditures intended to affect elections.,0
hjres38-115,Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,1
hjres54-115,Disapproving the rule submitted by the Department of the Treasury and the Internal Revenue Service relating to documentation requirements for certain related-party interests in a corporation to be treated as indebtedness.,0
hjres98-115,Proposing a balanced budget amendment to the Constitution of the United States.,0
hjres53-115,Removing the deadline for the ratification of the equal rights amendment.,0
hjres65-115,Proposing an amendment to the Constitution of the United States to abolish the electoral college and to provide for the direct popular election of the President and Vice President of the United States.Every Vote Counts Amendment,0
hjres91-115,Proposing an amendment to the Constitution of the United States regarding Presidential election voting rights for residents of all United States territories and commonwealths.,0
hjres96-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Interior relating to ""Eastern Interior Proposed Resource Management Plan and Final Environmental Impact Statement"".",0
hjres62-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to prepaid accounts under the Electronic Fund Transfer Act and the Truth in Lending Act.",0
hjres40-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.",1
hjres47-115,Disapproving the rule submitted by the Department of the Interior regarding requirements for exploratory drilling on the Arctic Outer Continental Shelf.,0
hjres78-115,Providing for the reappointment of Stephen M. Case as a citizen regent of the Board of Regents of the Smithsonian Institution.,0
hjres71-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Office of Natural Resources Revenue of the Department of the Interior relating to consolidated Federal oil and gas and Federal and Indian coal valuation reform.",0
hjres85-115,Proposing an amendment to the Constitution of the United States limiting the number of terms Senators and Representatives may serve.,0
hjres82-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Onshore Oil and Gas Operations; Federal and Indian Oil and Gas Leases; Measurement of Oil"".",0
hjres76-115,"Granting the consent and approval of Congress for the Commonwealth of Virginia, the State of Maryland, and the District of Columbia to enter into a compact relating to the establishment of the Washington Metrorail Safety Commission.",1
hjres49-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska"".",0
hjres22-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Environmental Protection Agency relating to ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources"".",0
hjres25-115,Proposing an amendment to the Constitution of the United States to end the practice of including more than one subject in a single law by requiring that each law enacted by Congress be limited to only one subject and that the subject be clearly and descriptively expressed in the title of the law.,0
hjres13-115,Proposing an amendment to the Constitution of the United States to limit the number of terms a Representative or Senator may serve.,0
hjres14-115,Proposing a balanced budget amendment to the Constitution of the United States.,0
hjres77-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Army Corps of Engineers relating to the Apalachicola-Chattahoochee-Flint River Basin Water Control Master Manual.",0
hjres83-115,"Disapproving the rule submitted by the Department of Labor relating to ""Clarification of Employer's Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness"".",1
hjres48-115,Proposing an amendment to the Constitution of the United States providing that the rights extended by the Constitution are the rights of natural persons only.,0
hjres84-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Transportation relating to ""Metropolitan Planning Organization Coordination and Planning Area Reform"".",0
hjres70-115,Disapproving the rule submitted by the Department of the Interior regarding requirements for exploratory drilling on the Arctic Outer Continental Shelf.,0
hjres46-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the National Park Service relating to ""General Provisions and Non-Federal Oil and Gas Rights"".",0
hjres79-115,Providing for the appointment of Michael Govan as a citizen regent of the Board of Regents of the Smithsonian Institution.,0
hjres41-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers"".",1
hjres15-115,Proposing a balanced budget amendment to the Constitution of the United States.,0
hjres12-115,Proposing an amendment to the Constitution of the United States prohibiting the United States Government from increasing its debt except for a specific purpose by law adopted by three-fourths of the membership of each House of Congress.,0
hjres24-115,Proposing an amendment to the Constitution of the United States to limit the number of years an individual may serve as a Member of Congress.,0
hjres23-115,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve to four in the House of Representatives and two in the Senate.,0
hjres8-115,Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.,0
hjres101-115,Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.,0
hjres139-115,"Providing for the designation of a ""Freedom to Choose their Destiny for the Nations of Eastern Europe and Eurasia Week"".",0
hjres106-115,"Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States.",0
hjres6-115,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.,0
hjres130-115,"Honoring the life of William (Billy) F. Graham, Jr.",0
hjres108-115,"Making continuing appropriations for fiscal year 2018 during any period between October 1, 2017, and December 14, 2017, for which discretionary appropriations have lapsed, and for other purposes.",0
hjres137-115,Proposing an amendment to the Constitution of the United States authorizing the territories of the United States to cast electoral votes in presidential elections.,0
hjres1-115,Proposing a balanced budget amendment to the Constitution of the United States.,0
hjres109-115,Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.,0
hjres136-115,Proposing an amendment to the Constitution of the United States waiving the application of the first article of amendment to the political speech of corporations and other business organizations with respect to the disbursement of funds in connection with public elections and granting Congress and the States the power to establish limits on contributions and expenditures in elections for public office.,0
hjres131-115,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".",0
hjres7-115,Proposing an amendment to the Constitution of the United States to limit the number of years an individual may serve as a Member of Congress.,0
hjres138-115,Proposing an amendment to the Constitution of the United States extending the right to vote to citizens sixteen years of age or older.,0
hjres107-115,Proposing a balanced budget amendment to the Constitution of the United States.,0
hjres9-115,Proposing an amendment to the Constitution of the United States to prohibit Members of Congress from receiving compensation during a fiscal year unless both Houses of Congress have agreed to a concurrent resolution on the budget for that fiscal year prior to the beginning of that fiscal year.,0
hjres100-115,"To authorize the use of United States Armed Forces against al Qaeda, the Islamic State of Iraq and the Levant (ISIL), and the Afghan Taliban.Consolidated Authorization for Use of Military Force Resolution of 2017",0
sjres60-115,A joint resolution providing for the reappointment of Barbara M. Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution.,1
sjres67-115,A joint resolution relating to the disapproval of the proposed export to the Government of Egypt of certain defense articles and services.,0
sjres58-115,"A joint resolution to require certifications regarding actions by Saudi Arabia in Yemen, and for other purposes.",0
sjres51-115,A joint resolution proposing an amendment to the Constitution of the United States relative to limiting the number of terms that a Member of Congress may serve.,0
sjres56-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by Bureau of Consumer Financial Protection relating to ""Payday, Vehicle, Title, and Certain High-Cost Installment Loans"".",0
sjres69-115,A joint resolution supporting a Diplomatic Solution in Yemen and Condemning the Murder of Jamal Khashoggi.,0
sjres7-115,A joint resolution proposing an amendment to the Constitution of the United States requiring that the Federal budget be balanced.,0
sjres9-115,"A joint resolution providing for congressional disapproval under chapter 8, of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to the disclosure of payments by resource extraction issuers.",0
sjres33-115,A joint resolution disapproving the rule submitted by the Department of Labor relating to savings arrangements established by qualified State political subdivisions for non-governmental employees.,0
sjres34-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Protecting the Privacy of Customers of Broadband and Other Telecommunications Services"".",1
sjres57-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by Bureau of Consumer Financial Protection relating to ""Indirect Auto Lending and Compliance with the Equal Credit Opportunity Act"".",1
sjres68-115,A joint resolution relating to the disapproval of the proposed export to the Government of Egypt of certain defense articles and services.,0
sjres50-115,A joint resolution relating to the disapproval of the proposed foreign military sale to the Government of Georgia of Javelin Missiles and Javelin Command Launch Units.,0
sjres66-115,A joint resolution relating to the disapproval of the proposed export to the Government of Qatar of certain defense articles and services.,0
sjres59-115,"A joint resolution to authorize the use of military force against the Taliban, al Qaeda, the Islamic State in Iraq and Syria, and designated associated forces, and to provide an updated, transparent, and sustainable statutory basis for counterterrorism operations.Authorization for Use of Military Force of 2018",0
sjres61-115,"A joint resolution to authorize the use of military force in Iraq and Afghanistan against the Taliban, al Qaeda, and the Islamic State of Iraq and the Levant in order to protect the United States, its territories, and the homeland from attack.Constitutional Consideration for Use of Force Resolution",0
sjres35-115,A joint resolution providing for the appointment of Michael Govan as a citizen regent of the Board of Regents of the Smithsonian Institution.,1
sjres8-115,A joint resolution proposing an amendment to the Constitution of the United States relating to contributions and expenditures intended to affect elections.,0
sjres32-115,A joint resolution disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,0
sjres1-115,A joint resolution approving the location of a memorial to commemorate and honor the members of the Armed Forces who served on active duty in support of Operation Desert Storm or Operation Desert Shield.,1
sjres6-115,A joint resolution proposing an amendment to the Constitution of the United States relative to equal rights for men and women.,0
sjres21-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to Cross-State Air Pollution Rule Update for the 2008 Ozone NAAQS.",0
sjres26-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.",0
sjres19-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to prepaid accounts under the Electronic Fund Transfer Act and the Truth in Lending Act.",0
sjres10-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by the Secretary of the Interior relating to stream protection.",0
sjres17-115,A joint resolution approving the discontinuation of the process for consideration and automatic implementation of the annual proposal of the Independent Medicare Advisory Board under section 1899A of the Social Security Act.,0
sjres28-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Administrator of the Environmental Protection Agency relating to accidental release prevention requirements of risk management programs under the Clean Air Act.",0
sjres43-115,"A joint resolution to authorize the use of United States Armed Forces against al-Qaeda, the Taliban, and the Islamic State of Iraq and Syria, and associated persons or forces, that are engaged in hostilities against the United States, the Armed Forces, or its other personnel.Authorization for Use of Military Force Against al-Qaeda, the Taliban, and the Islamic State of Iraq and Syria",0
sjres44-115,"A joint resolution condemning the deadly attack on May 26, 2017, in Portland, Oregon, expressing deepest condolences to the families and friends of the victims, and supporting efforts to overcome hatred, bigotry, and violence.",0
sjres16-115,A joint resolution approving the discontinuation of the process for consideration and automatic implementation of the annual proposal of the Independent Medicare Advisory Board under section 1899A of the Social Security Act.,0
sjres29-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Office of Natural Resources Revenue of the Department of the Interior relating to consolidated Federal oil and gas and Federal and Indian coal valuation reform.",0
sjres11-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Waste Prevention, Production Subject to Royalties, and Resource Conservation"".",0
sjres27-115,"A joint resolution disapproving the rule submitted by the Department of Labor relating to ""Clarification of Employer's Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness"".",0
sjres18-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by the Department of the Interior relating to Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska.",0
sjres20-115,"A joint resolution proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate corporations, limited liability companies, and other corporate entities established by the laws of any State, the United States, or any foreign state.",0
sjres45-115,"A joint resolution condemning the deadly attack on May 26, 2017, in Portland, Oregon, expressing deepest condolences to the families and friends of the victims, and supporting efforts to overcome hatred, bigotry, and violence.",0
sjres42-115,A joint resolution relating to the disapproval of the proposed export to the Government of the Kingdom of Saudi Arabia of certain defense articles.,0
sjres39-115,A joint resolution proposing a balanced budget amendment to the Constitution of the United States.,0
sjres3-115,A joint resolution proposing an amendment to the Constitution of the United States which requires (except during time of war and subject to suspension by Congress) that the total amount of money expended by the United States during any fiscal year not exceed the amount of certain revenue received by the United States during such fiscal year and not exceed 20 percent of the gross domestic product of the United States during the previous calendar year.,0
sjres4-115,A joint resolution disapproving the action of the District of Columbia Council in approving the Death with Dignity Act of 2016.,0
sjres37-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Test Procedures for Compressors"".",0
sjres30-115,A joint resolution providing for the reappointment of Steve Case as a citizen regent of the Board of Regents of the Smithsonian Institution.,1
sjres64-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Treasury relating to ""Returns by Exempt Organizations and Returns by Certain Non-Exempt Organizations"".",0
sjres63-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Secretary of the Treasury, Secretary of Labor, and Secretary of Health and Human Services relating to ""Short-Term, Limited Duration Insurance"".",0
sjres55-115,"A joint resolution to require certifications regarding actions by Saudi Arabia in Yemen, and for other purposes.",0
sjres52-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".",0
sjres31-115,"A joint resolution to authorize the use of United States Armed Forces against al-Qaeda, the Taliban, the Islamic State of Iraq and Syria, successor organizations, and associated forces.Authorization for Use of Military Force Against al-Qaeda, the Taliban, and the Islamic State of Iraq and Syria",0
sjres36-115,A joint resolution providing for the appointment of Roger W. Ferguson as a citizen regent of the Board of Regents of the Smithsonian Institution.,1
sjres5-115,A joint resolution removing the deadline for the ratification of the equal rights amendment.,0
sjres38-115,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Approval, Disapproval and Promulgation of Air Quality Implementation Plans; Partial Approval and Partial Disapproval of Air Quality Implementation Plans and Federal Implementation Plan; Utah; Revisions to Regional Haze State Implementation Plan; Federal Implementation Plan for Regional Haze"".",0
