bioguide_id,name,gender,type,state,district,party,start,end,days_in_office,subjects_top_term,by_subj_bills_sponsored,by_subj_pass_rate
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Labor and employment,1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Native Americans,4.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,10.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,"Science, technology, communications",4.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Social welfare,1.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,2.0,0.0
C000127,Maria Cantwell,F,sen,WA,-,Democrat,2013-01-03,2019-01-03,2191,Water resources development,1.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Animals,1.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,2.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,"Civil rights and liberties, minority issues",2.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Commerce,4.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Congress,1.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,5.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Education,6.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Emergency management,1.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Energy,1.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Environmental protection,4.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Foreign trade and international finance,2.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,8.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Health,11.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,International affairs,29.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,4.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,5.0,0.0
C000141,Benjamin Cardin,M,sen,MD,-,Democrat,2013-01-03,2019-01-03,2191,Water resources development,1.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,1.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Education,3.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Environmental protection,1.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,4.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Health,5.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Immigration,1.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,3.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Social welfare,1.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,2.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,1.0,0.0
C000174,Thomas Carper,M,sen,DE,-,Democrat,2013-01-03,2019-01-03,2191,none provided,1.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Agriculture and food,5.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,1.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Commerce,2.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,3.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Education,8.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Environmental protection,2.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Families,1.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,3.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Health,18.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,International affairs,4.0,0.25
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Labor and employment,9.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,3.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Social welfare,5.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Sports and recreation,2.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,12.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,2.0,0.0
C001070,Robert Casey,M,sen,PA,-,Democrat,2013-01-03,2019-01-03,2191,none provided,2.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Agriculture and food,3.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,3.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,"Civil rights and liberties, minority issues",3.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Commerce,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Congress,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,11.0,0.09090909090909091
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Education,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Emergency management,1.0,1.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Energy,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Families,3.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Health,5.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Housing and community development,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Immigration,6.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,International affairs,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Labor and employment,2.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,5.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,"Science, technology, communications",1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Sports and recreation,3.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,2.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,Water resources development,1.0,0.0
F000062,Dianne Feinstein,F,sen,CA,-,Democrat,2013-01-03,2019-01-03,2191,none provided,10.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Agriculture and food,4.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,6.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,"Civil rights and liberties, minority issues",2.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Commerce,4.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Congress,3.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,7.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Education,3.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Emergency management,2.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Energy,1.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Families,3.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Finance and financial sector,1.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Foreign trade and international finance,1.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,8.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Health,11.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Housing and community development,2.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Immigration,1.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,International affairs,3.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Labor and employment,2.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Law,1.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,2.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,"Science, technology, communications",6.0,0.16666666666666666
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Sports and recreation,4.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,6.0,0.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,7.0,0.14285714285714285
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,Water resources development,1.0,1.0
K000367,Amy Klobuchar,F,sen,MN,-,Democrat,2013-01-03,2019-01-03,2191,none provided,1.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Agriculture and food,1.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,1.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,"Arts, culture, religion",1.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,"Civil rights and liberties, minority issues",6.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Commerce,1.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,2.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Economics and public finance,1.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Education,4.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Emergency management,2.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Energy,1.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Environmental protection,3.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Families,3.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Finance and financial sector,5.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Foreign trade and international finance,2.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,4.0,0.25
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Health,9.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Immigration,2.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,International affairs,18.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,2.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,7.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,2.0,0.0
M000639,Robert Menendez,M,sen,NJ,-,Democrat,2013-01-03,2019-01-03,2191,none provided,2.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Agriculture and food,1.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Armed forces and national security,2.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Crime and law enforcement,1.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Education,1.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Emergency management,1.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Energy,1.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Finance and financial sector,3.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Government operations and politics,1.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Health,7.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,International affairs,2.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Labor and employment,5.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Public lands and natural resources,1.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Social welfare,2.0,0.0
S000033,Bernard Sanders,M,sen,VT,-,Independent,2013-01-03,2019-01-03,2191,Taxation,3.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Agriculture and food,3.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,4.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Commerce,1.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Education,1.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Environmental protection,4.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,2.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Health,18.0,0.05555555555555555
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,International affairs,1.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,1.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Social welfare,2.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,9.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,1.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,Water resources development,2.0,0.0
S000770,Debbie Stabenow,F,sen,MI,-,Democrat,2013-01-03,2019-01-03,2191,none provided,1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Agriculture and food,1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Animals,1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,24.0,0.041666666666666664
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,"Civil rights and liberties, minority issues",1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Congress,1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Education,8.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Emergency management,1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Finance and financial sector,2.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Foreign trade and international finance,3.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,6.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Health,6.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Labor and employment,1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Native Americans,3.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,5.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,6.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,1.0,0.0
T000464,Jon Tester,M,sen,MT,-,Democrat,2013-01-03,2019-01-03,2191,Water resources development,2.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Armed forces and national security,1.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Commerce,2.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Crime and law enforcement,3.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Education,2.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Energy,1.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Environmental protection,4.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Finance and financial sector,1.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Government operations and politics,5.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Health,2.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,International affairs,2.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Labor and employment,2.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Law,1.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Public lands and natural resources,2.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,"Science, technology, communications",1.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Social welfare,1.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Taxation,9.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,Transportation and public works,1.0,0.0
W000802,Sheldon Whitehouse,M,sen,RI,-,Democrat,2013-01-03,2019-01-03,2191,none provided,1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Animals,1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,"Arts, culture, religion",1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Congress,1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Energy,5.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Environmental protection,4.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Health,3.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,International affairs,1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Law,1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Native Americans,1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Public lands and natural resources,5.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,"Science, technology, communications",1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Taxation,1.0,0.0
B001261,John Barrasso,M,sen,WY,-,Republican,2013-01-03,2019-01-03,2191,Transportation and public works,1.0,0.0
